source_sentence,simplified_sentence,sentence_id
"When the city grew further , a bigger market place became necessary .","As the city grew larger , a bigger market place became more important .",2
"These submarines often have a system which can get oxygen from the surrounding seawater as well , this combination allows them to stay above the water surface until the food runs out .","These submarines often have a system which can get oxygen from the surrounding seawater as well , this combination allows them to stay above the water surface until there is no food anymore .",3
"Unlike the branle , in which sideways motion was achieved by the dancer 's continually bringing the feet together , the gavotte required crossing of the feet twice in each step pattern , and each step was followed by a hop .","To dance a gavotte the dancers must cross their feet twice in each step pattern , with each step followed by a hop .",4
"At Ulong , Jeff twisted his ankle when he accidentally stepped into a stray coconut .","At Ulong , Jeff twisted his ankle when he accidentally stepped into a coconut that was on the ground .",6
"The two organizations formally merged as the IEEE on January NUMBER@1 , NUMBER@2 .","After World War II , the leadership of both the IRE and the AIEE merged two organizations on January NUMBER@1 , NUMBER@2 .",8
This latter form of solitary confinement is sometimes referred to as protective custody .,This form of solitary confinement is sometimes called protective custody .,9
"Cuttlefish ink was formerly an important dye , called sepia .","This ink was formerly an important dye , called sepia .",11
"The ' template allows you to easily put a quote -LRB- and its source -RRB- inside a box , with flexible control over bordering , background color , alignment , and other features .",The quote box template allows you to easily put a quote -LRB- and its source -RRB- inside a box .,13
"He then spent two years in the French Formula Renault Championship , ultimately finishing second in points in NUMBER@1 after winning four races and five pole positions .",He then spent two years in the French Formula Renault Championship . He finished second in points in NUMBER@1 .,15
"Nominal value during British rule , and the first decade of independence :",The nominal values during British rule -LRB- and the first decade of independence -RRB- were :,16
"Christopher George Latore Wallace -LRB- May 21 , 1972 - March 9 , 1997 -RRB- was an American rapper .","Christopher George Latore Wallace -LRB- May 21 , 1972 â '' March 9 , 1997 -RRB- , better known by his stage name , The Notorious B.I.G. or Biggie Smalls , was a American rapper .",17
"At the time , the reasons for his return were unclear ; some claimed that he was simply homesick , while others believed that he had been kidnapped by Soviet officials .","Some claimed that he was simply homesick , while others believed that he had been kidnapped by Soviet officials .",18
The first DÃ il to exist under the Constitution of the Irish Free State succeeded the Second DÃ il of the Irish Republic and so was styled the Third DÃ il .,"The First DÃ il passed the Declaration of Independence of the Irish Republic , a Constitution and set up a government .",20
"It is the fourth-deadliest school massacre in LOCATION@1 history , after the NUMBER@1 ORGANIZATION@1 disaster , NUMBER@2 Virginia Tech massacre and the NUMBER@3 ORGANIZATION@2 massacre , and the deadliest for an American high school .","It was one of the first well-known massacres at a school in the LOCATION@1 , and the one with the most deaths until the Virginia Tech massacre in NUMBER@2 .",23
"After Lollapalooza , the band embarked on a worldwide tour , and already-existing tensions increased during that tour .","After Lollapalooza , the band embarked on a world tour . Tensions continued to increase during the tour in support of the album .",24
External links Windows 2000 official product page Windows 2000 Professional feature list Windows 2000 Server information at Technet Windows 2000 Transitions to Extended Support .,Other websites Windows 2000 official product page Windows 2000 Professional feature list Windows 2000 Server Family Windows 2000 Server information at Technet Official support page Windows 2000 Transitions to Extended Support .,25
"While the municipality itself -LRB- city center -RRB- has a population -LRB- as of -RRB- of , the metropolitan area has NUMBER@1 residents , according to a NUMBER@2 census .","The city of LOCATION@1 has an area of , while the area of the LOCATION@2 of LOCATION@1 is .",26
"They speak the Kalash language , a member of the Dardic family of Indo-Aryan Languages .","They speak the Kalash language , a member of the Dardic family of Indo-Aryan .",27
Cervical cancer is malignant cancer of the cervix uteri or cervical area .,Cervical cancer is cancer of the cervix or cervical area that can result in malignance and death .,28
"Color , style and ceremonial importance of the gown can depend on the religion and culture of the wedding participants .","The color , style and ceremonial importance of the gown can depend on the religion and culture of the bride .",29
Travelcards entitle the holder to a NUMBER@1 % discount on scheduled LOCATION@1 .,Travelcards also entitle the holder to a NUMBER@1 % discount on some LOCATION@1 .,30
", the panelists were not allowed to formally confer with each other , though later in the series , there was no chastising of the panelists for whispering ideas to each other .",", the panelists were not allowed to try to figure out secrets together , but later in the series , no one bothered the panelists when they whispered ideas to each other .",31
"How to eat a feijoa The fruit have a juicy sweet seed pulp , and slightly gritty flesh nearer the skin .","The fruits have a juicy sweet seed pulp , and slightly gritty flesh nearer the skin .",32
"All prosauropods had a long neck and small head , forelimbs shorter than the hindlimbs , and a very large thumb claw -LRB- inherited from the thecodontosaurs -RRB- for defense .","All prosauropods had a long neck and small head , forelimbs shorter than the hindlimbs , and a very large thumb claw for defense .",35
"It preceded the modern thylacine by NUMBER@1 â '' NUMBER@2 million years , and was NUMBER@3 % bigger , was more robust and had a shorter , broader skull .","In some ways it was more robust and had a shorter , broader skull than the modern Thylacine . The head and body together were around NUMBER@3 ft long .",38
An example of mutual symbiosis is the relationship between the ocellaris clownfish that dwell among the tentacles of LOCATION@1 sea anemones .,An example of mutual symbiosis is the relationship between clownfish that live among the tentacles of tropical sea anemones .,39
"ORGANIZATION@1 , PERSON@1 and PERSON@2 , protested by rejecting the proposed Concorde Agreement -LRB- negotiations for which started as early as NUMBER@1 -RRB- .","ORGANIZATION@1 , PERSON@1 , and PERSON@2 did not like this arrangement . They rejecting the proposed Concorde Agreement .",40
"A press conference was held on February NUMBER@1 , NUMBER@2 at the ORGANIZATION@1 to formally announce the event for LOCATION@1 , LOCATION@2 at the ORGANIZATION@1 ; this event marks the first time WrestleMania will be held in the state of LOCATION@2 .","A press conference happened on February NUMBER@1 , NUMBER@2 at the ORGANIZATION@1 to officially announce the event for LOCATION@1 , LOCATION@2 at the ORGANIZATION@1 ; this event marks the first time WrestleMania would happen in the state of LOCATION@2 .",44
"It is located in the Detroit metropolitan area and Wayne County , and is the tenth largest city in the U.S. state of Michigan .",Dearborn is a city of the Detroit metropolitan area and Wayne County in the state of Michigan in the United States .,45
Hägendorf is a municipality in the district of Olten in the canton of LOCATION@1 in LOCATION@2 .,Hägendorf is a municipality in the district Olten in the canton of LOCATION@1 in LOCATION@2 .,46
"They installed a 1200 m long wire above the town 's roofs , which they were given permission for on 6 May 1833 .",Carl Friedrich Gauss and Wilhelm Weber installed a 1000m long wire above the town 's roofs . They were allowed to do this on 6 May 1833 .,47
It is played under the chin in the same manner as the violin .,It is held under the chin and bowed like a violin .,48
"On NUMBER@1 February the Battle of PERSON@1 began , as the city was attacked by numerically-superior ORGANIZATION@1 and Bavarian troops under the command of PERSON@2 and PERSON@3 .","On NUMBER@1 February , the Battle of PERSON@1 began , as the city was attacked by the bigger ORGANIZATION@1 and Bavarian troops sent by PERSON@2 and PERSON@3 .",49
"; Brown , Delmer et al .","3-4 ; Brown , Delmer et al .",51
Saint-Martin-Rivière is a commune in the Aisne department in Picardie in northern France .,It is found in the region Picardie in the Aisne department in the north of France .,52
"The Lord Mayor of LOCATION@1 is to be distinguished from the Mayor of LOCATION@1 ; the former is an officer only of the City of LOCATION@1 , while the Mayor of LOCATION@1 is the Mayor of LOCATION@2 and as such governs a much larger area .",The Lord Mayor of LOCATION@1 is not the same person as the Mayor of LOCATION@1 ; the former is an officer only of the City of LOCATION@1 . The Mayor of LOCATION@1 governs the much larger area of LOCATION@2 .,54
"Their 1st studio album , Disorder , was released on October NUMBER@1 and made it to the top NUMBER@2 of the indies ORGANIZATION@1 .","Their debut album , Disorder , was released in October , and made it to the top NUMBER@2 of the indies ORGANIZATION@1 .",56
"Juan Valera EspÃ n -LRB- born December 21 , 1984 in Murcia -RRB- is a Spanish footballer who plays for AtlÃ tico Madrid in the Spanish first division .",Juan Valera EspÃ n -LRB- born 21 December 1984 -RRB- is a Spanish football player . He plays for AtlÃ tico Madrid .,57
The couple had twelve children :,They had twelve children .,58
Raisin bread is a bread that contains raisins .,Raisin bread is a type of bread that has raisins in it .,59
They are totally harmless to humans .,They are harmless to humans .,61
"Straßburg edition -LRB- medicinal and philosophical treatises -RRB- , 1603 .","Huser quart edition -LRB- medicinal and philosophical treatises -RRB- , Basel , 1589 .",62
One of its most distinctive feature is a middle slice of bread -LRB- '' club '' layer -RRB- used to stabilize contents and prevent spillage .,One of its well-known and unique features is a middle slice of bread -LRB- '' club '' layer -RRB- used to make sure the contents do not move about and to prevent spills .,65
The red allotrope does not spontaneously ignite in air and is not as dangerous as the white form .,This form does not ignite spontaneously and it is a little less dangerous than white phosphorus .,68
The second single by British artist PERSON@1 was called the PERSON@2 scream and was released in NUMBER@1 .,The second single by British artist PERSON@1 was called '' The Wilhelm Scream '' and was released in NUMBER@1 .,69
"He was the son of Johann Sebastian Bach , but he was far different , especially for his dissolute habits .","He was the son of Johann Sebastian Bach , but he was far different , especially his habits , which people did n't like .",70
"As the name suggests , the genre is a fusion of heavy metal with traditional folk music .",This music genre is a mixture of heavy metal and traditional folk music .,73
"Celebrate Your Success : Allows the player to use the Wii Remote and Nunchuk to trigger celebrations after a touchdown , interception , or sack .",Celebrate Your Success : Allows the player to use the Wii Remote and Nunchuk to trigger celebrations after a touchdown or sack .,74
Duneau is a commune in the LOCATION@1 department in the LOCATION@2 region in north-western LOCATION@3 .,It is found in the region Pays de la LOCATION@4 in the LOCATION@1 department in the west of LOCATION@3 .,75
"Bagrat III -LRB- -RRB- -LRB- September NUMBER@1 , NUMBER@2 NUMBER@3 -RRB- , of the Bagrationi Dynasty , was a king of Imereti from April NUMBER@4 , NUMBER@5 , to NUMBER@3 .","III -RRB- -LRB- September NUMBER@1 , NUMBER@2 -- NUMBER@3 -RRB- , of the Bagrationi Dynasty , was a king of Imereti from April NUMBER@4 , NUMBER@5 to NUMBER@3 .",76
The city is served by Sultan Mahmud Badaruddin II Airport which has scheduled flights to many cities in Indonesia and also to Singapore by Silk Air and Malaysia by Air Asia .,The city is served by Sultan Mahmud Badaruddin II Airport which has many flights to many cities in Indonesia and also to Singapore and Malaysia .,77
NUMBER@1 Commonwealth Games - Host city will be chosen in NUMBER@2 .,NUMBER@1 Commonwealth Games will take place .,78
"Copper -LRB- II -RRB- carbonate -LRB- often called copper carbonate or cupric carbonate -RRB- is a blue-green compound -LRB- chemical formula CuCO3 -RRB- forming part of the verdigris patina that is found on weathered brass , bronze , and copper .","Copper -LRB- II -RRB- carbonate , also known as cupric carbonate , is a chemical compound . Its chemical formula is CuCO3 .",80
